Demystifying recursive zero-knowledge proofs				
NR shoot every Thursday at 11am on Google Meet. Link on 3rd tab				
				
But why?	Title	Most Fun Article Coverage Link	More Detail or Followup Article Title	More Detail or Followup Article Link
Neat piece of historical trivia also pointing out that like the USV/container idea, COTS products can be as deadly or more deadly than expensive gear under the right circumstances. The trick is the cheapest fastest way to make those circumstances real	America’s plan to build 747 arsenal ships packed with cruise missiles	https://www.sandboxx.us/blog/americas-plan-to-build-747-arsenal-ships-packed-with-cruise-missiles/		
Geofence warrants, reverse-search warrant. We've come a long, long way since pen registers	The new warrant: how US police mine Google for your location and search history	https://www.theguardian.com/us-news/2021/sep/16/geofence-warrants-reverse-search-warrants-police-google		
This seems to be an up and coming hot topic with some folks in the functional community	What is property based testing	https://hypothesis.works/articles/what-is-property-based-testing/	Great discussion on HN	https://news.ycombinator.com/item?id=28586932
It ain't minimalist, but it's a thing of beauty. Bonus points for the app that splits bandwidth. Definitely picking that one up	There are six internet links on my office on wheels. Seven when Starlink arrives. Is this the best internet in Australia?	https://ghuntley.com/internet/		
"...The anti-science perspective also consistently misses the fact that we need to make decisions, even when our knowledge is incomplete and imperfect...." this essay, along with the chasm essay I did, is a good introduction to info-ops. There is no 'we' as the author would wish, in this discussion, we are all, instead, left ultimately and happily inside our own bodies to make our own choices. The way this guy is wrong, the conflating of the personal and the public, the practice and the theory, the tool (math) and the language? It's extremely important	Science is not just philosophy	https://theness.com/neurologicablog/index.php/science-is-not-just-philosophy/		
Noticed Paul graham tweeting on this topic. Looks like super nerdy bio-gentics topic that nobody is talking about	Welcome Polygenically Screened Babies	https://astralcodexten.substack.com/p/welcome-polygenically-screened-babies		
Three million particles in realtime at 40+FPS? Wow!	ve been working on optimizing the Zibra fluid solver	https://twitter.com/Michael_Moroz_/status/1439942606058840067		
Overview of the super cool new tech being used for genome sequencing, with a look to the kinds of impact it might have	The future of ‘next generation’ DNA sequencing	https://www.chemistryworld.com/news/the-future-of-next-generation-dna-sequencing/4014391.article		
Yes, yes. More of this, please. One of the best things any developer or team can do is get the hell out of their own heads and code and talk to the people they're trying to help	As a solo developer, I decided to offer phone support, and this is what happened	http://plumshell.com/2017/11/30/as-a-solo-app-developer-i-decided-to-offer-phone-support-and-this-is-what-happened/		
How much money does the FBI have to destroy before it's a problem?		https://www.washingtonpost.com/national-security/ransomware-fbi-revil-decryption-key/2021/09/21/4a9417d0-f15f-11eb-a452-4da5fe48582d_story.html		
Hacking your Casio $20 watch to have cool new features? I initially ignored this article, but dang, that looks fun!	MORE CASIO WATCH MODS (LCD COLORS, TRANSPARENT DISPLAY, MICRO SD, STRAP REMOVER)	https://n-o-d-e.net/watch_mods.html	The F91W-1 watch from Casio	https://www.casio.com/products/watches/classic/f91w-1
This story has been percolating for years and needs more recognition. You build backdoors and capabilities, people use them to do things you probably aren't going to like. People want to argue these things in isolation, with the think-of-the-kids argument or the ticking bomb argument, but it's not right to limit the disucssion to just those scenarios	Ex-U.S. intel operatives admit hacking American networks for UAE	https://www.reuters.com/world/us/american-hacker-mercenaries-face-us-charges-work-uae-2021-09-14/		
I like neutrinos, don't you? What's wrong with all the neutrino hate? These are the little guys that are finally going to bring the holy grail of new physics and change reality as we know it! :)	The physics anomaly no one talks about: What’s up with those neutrinos? 	https://backreaction.blogspot.com/2021/09/the-physics-anomaly-no-one-talks-about.html		
Follow-up from last week and many other discussions. Of note, nuclear thermal is different than plain electric rockets with twice as much potential. Can plasma catch up with some sort of plasma jet? Is there an afterburner concept for either of them?	A New DARPA Contract Brings Us One Step Closer to Nuclear Thermal Spaceflight	https://interestingengineering.com/darpa-contract-brings-us-closer-to-nuclear-thermal-spaceflight	Mars in a month!	https://interestingengineering.com/a-123000-mph-nuclear-rocket-could-reach-mars-in-only-one-month
				
Flying machines the size of a grain of sand? Whoa horsey	Scientists make the smallest-ever man-made flying devices inspired by propeller seeds	https://www.zmescience.com/science/microfliers-inspired-nature-096543/amp/?__twitter_impression=true		
				
Neat. Secret agenc stuff	‘Every message was copied to the police’: the inside story of the most daring surveillance sting in history	https://www.theguardian.com/australia-news/2021/sep/11/inside-story-most-daring-surveillance-sting-in-history		
